CNES - Recursos Físicos - Urgência - Leitos de Repouso / Observação - Brasil
Leitos Repouso/Observação Indif por Município e Região
Período:Fev/2020
"Município";"1 Região Norte";"2 Região Nordeste";"3 Região Sudeste";"4 Região Sul";"5 Região Centro-Oeste";"Total"
"150497 Nova Ipixuna";2;-;-;-;-;2
"150503 Novo Progresso";2;-;-;-;-;2
"150506 Novo Repartimento";9;-;-;-;-;9
"150510 Óbidos";6;-;-;-;-;6
"150530 Oriximiná";8;-;-;-;-;8
"150540 Ourém";3;-;-;-;-;3
"150543 Ourilândia do Norte";3;-;-;-;-;3
"150548 Pacajá";7;-;-;-;-;7
"150549 Palestina do Pará";1;-;-;-;-;1
"150550 Paragominas";7;-;-;-;-;7
"150553 Parauapebas";29;-;-;-;-;29
"150555 Pau D'Arco";1;-;-;-;-;1
"150565 Placas";1;-;-;-;-;1
"150580 Portel";5;-;-;-;-;5
"150590 Porto de Moz";2;-;-;-;-;2
"150600 Prainha";2;-;-;-;-;2
"150610 Primavera";4;-;-;-;-;4
"150611 Quatipuru";10;-;-;-;-;10
"150613 Redenção";11;-;-;-;-;11
"150618 Rondon do Pará";1;-;-;-;-;1
"150619 Rurópolis";2;-;-;-;-;2
"150620 Salinópolis";8;-;-;-;-;8
"150635 Santa Bárbara do Pará";6;-;-;-;-;6
"150650 Santa Izabel do Pará";3;-;-;-;-;3
"150660 Santa Maria do Pará";1;-;-;-;-;1
"150670 Santana do Araguaia";2;-;-;-;-;2
"150680 Santarém";37;-;-;-;-;37
"150700 Santo Antônio do Tauá";6;-;-;-;-;6
"150715 São Domingos do Araguaia";1;-;-;-;-;1
"150720 São Domingos do Capim";1;-;-;-;-;1
"150730 São Félix do Xingu";8;-;-;-;-;8
"150745 São Geraldo do Araguaia";2;-;-;-;-;2
"150747 São João de Pirabas";4;-;-;-;-;4
"150750 São João do Araguaia";2;-;-;-;-;2
"150760 São Miguel do Guamá";5;-;-;-;-;5
"150780 Senador José Porfírio";2;-;-;-;-;2
"150797 Terra Santa";6;-;-;-;-;6
"150800 Tomé-Açu";9;-;-;-;-;9
"150803 Tracuateua";4;-;-;-;-;4
"150808 Tucumã";3;-;-;-;-;3
"150810 Tucuruí";11;-;-;-;-;11
"150815 Uruará";3;-;-;-;-;3
"150830 Viseu";6;-;-;-;-;6
"150835 Vitória do Xingu";2;-;-;-;-;2
"150840 Xinguara";2;-;-;-;-;2
"160010 Amapá";2;-;-;-;-;2
"160027 Laranjal do Jari";6;-;-;-;-;6
"160030 Macapá";38;-;-;-;-;38
"160050 Oiapoque";3;-;-;-;-;3
"160015 Pedra Branca do Amapari";4;-;-;-;-;4
"160060 Santana";29;-;-;-;-;29
"160005 Serra do Navio";2;-;-;-;-;2
"160070 Tartarugalzinho";1;-;-;-;-;1
"160080 Vitória do Jari";2;-;-;-;-;2
"170040 Almas";5;-;-;-;-;5
"170210 Araguaína";9;-;-;-;-;9
"170220 Araguatins";2;-;-;-;-;2
"170230 Arapoema";4;-;-;-;-;4
"170240 Arraias";3;-;-;-;-;3
"170370 Brejinho de Nazaré";2;-;-;-;-;2
"170555 Combinado";11;-;-;-;-;11
"170700 Dianópolis";9;-;-;-;-;9
"170720 Dois Irmãos do Tocantins";2;-;-;-;-;2
"170730 Dueré";3;-;-;-;-;3
"170820 Formoso do Araguaia";14;-;-;-;-;14
"170950 Gurupi";18;-;-;-;-;18
"171190 Lagoa da Confusão";5;-;-;-;-;5
"171215 Lavandeira";2;-;-;-;-;2
"171515 Novo Alegre";3;-;-;-;-;3
"172100 Palmas";67;-;-;-;-;67
"171620 Paranã";1;-;-;-;-;1
"171650 Pedro Afonso";4;-;-;-;-;4
"171700 Pindorama do Tocantins";3;-;-;-;-;3
"171855 Riachinho";3;-;-;-;-;3
"172010 São Bento do Tocantins";7;-;-;-;-;7
"172025 São Salvador do Tocantins";6;-;-;-;-;6
"172065 Silvanópolis";2;-;-;-;-;2
"172090 Taguatinga";5;-;-;-;-;5
"172120 Tocantinópolis";7;-;-;-;-;7
"210005 Açailândia";-;13;-;-;-;13
"210010 Afonso Cunha";-;2;-;-;-;2
"210020 Alcântara";-;9;-;-;-;9
"210030 Aldeias Altas";-;3;-;-;-;3
"210043 Alto Alegre do Maranhão";-;11;-;-;-;11
"210060 Amarante do Maranhão";-;2;-;-;-;2
"210083 Apicum-Açu";-;2;-;-;-;2
"210090 Araioses";-;1;-;-;-;1
"210100 Arari";-;2;-;-;-;2
"210120 Bacabal";-;3;-;-;-;3
"210125 Bacabeira";-;7;-;-;-;7
"210130 Bacuri";-;2;-;-;-;2
"210140 Balsas";-;34;-;-;-;34
"210160 Barra do Corda";-;3;-;-;-;3
"210170 Barreirinhas";-;3;-;-;-;3
"210177 Bela Vista do Maranhão";-;2;-;-;-;2
"210180 Benedito Leite";-;3;-;-;-;3
"210193 Bernardo do Mearim";-;3;-;-;-;3
"210197 Boa Vista do Gurupi";-;3;-;-;-;3
"210203 Bom Jesus das Selvas";-;1;-;-;-;1
"210210 Brejo";-;1;-;-;-;1
"210220 Buriti";-;1;-;-;-;1
"210232 Buriticupu";-;6;-;-;-;6
"210240 Cajapió";-;5;-;-;-;5
"210250 Cajari";-;3;-;-;-;3
"210255 Campestre do Maranhão";-;1;-;-;-;1
"210270 Cantanhede";-;1;-;-;-;1
"210275 Capinzal do Norte";-;1;-;-;-;1
"210290 Carutapera";-;9;-;-;-;9
"210300 Caxias";-;6;-;-;-;6
"210312 Central do Maranhão";-;1;-;-;-;1
"210320 Chapadinha";-;12;-;-;-;12
"210330 Codó";-;14;-;-;-;14
"210340 Coelho Neto";-;6;-;-;-;6
"210350 Colinas";-;3;-;-;-;3
"210355 Conceição do Lago-Açu";-;8;-;-;-;8
"210360 Coroatá";-;12;-;-;-;12
"210370 Cururupu";-;4;-;-;-;4
"210375 Davinópolis";-;3;-;-;-;3
"210390 Duque Bacelar";-;1;-;-;-;1
"210408 Fernando Falcão";-;3;-;-;-;3
"210420 Fortuna";-;1;-;-;-;1
"210462 Governador Luiz Rocha";-;1;-;-;-;1
"210465 Governador Newton Bello";-;3;-;-;-;3
"210470 Graça Aranha";-;1;-;-;-;1
"210480 Grajaú";-;5;-;-;-;5
"210490 Guimarães";-;2;-;-;-;2
"210530 Imperatriz";-;40;-;-;-;40
"210535 Itaipava do Grajaú";-;3;-;-;-;3
"210545 Jatobá";-;3;-;-;-;3
"210547 Jenipapo dos Vieiras";-;3;-;-;-;3
"210560 Joselândia";-;1;-;-;-;1
"210565 Junco do Maranhão";-;4;-;-;-;4
"210570 Lago da Pedra";-;1;-;-;-;1
"210580 Lago do Junco";-;3;-;-;-;3
"210594 Lago dos Rodrigues";-;4;-;-;-;4
"210590 Lago Verde";-;3;-;-;-;3
"210596 Lagoa Grande do Maranhão";-;5;-;-;-;5
"210630 Magalhães de Almeida";-;1;-;-;-;1
"210637 Maranhãozinho";-;4;-;-;-;4
"210650 Matinha";-;2;-;-;-;2
"210663 Matões do Norte";-;3;-;-;-;3
"210670 Mirador";-;3;-;-;-;3
"210675 Miranda do Norte";-;5;-;-;-;5
"210680 Mirinzal";-;2;-;-;-;2
"210700 Montes Altos";-;3;-;-;-;3
"210710 Morros";-;4;-;-;-;4
"210720 Nina Rodrigues";-;1;-;-;-;1
"210725 Nova Colinas";-;1;-;-;-;1
"210730 Nova Iorque";-;2;-;-;-;2
"210735 Nova Olinda do Maranhão";-;3;-;-;-;3
"210740 Olho d'Água das Cunhãs";-;3;-;-;-;3
"210745 Olinda Nova do Maranhão";-;2;-;-;-;2
"210750 Paço do Lumiar";-;5;-;-;-;5
"210760 Palmeirândia";-;2;-;-;-;2
"210770 Paraibano";-;2;-;-;-;2
"210800 Pastos Bons";-;2;-;-;-;2
"210805 Paulino Neves";-;4;-;-;-;4
"210810 Paulo Ramos";-;1;-;-;-;1
"210820 Pedreiras";-;1;-;-;-;1
"210825 Pedro do Rosário";-;2;-;-;-;2
"210830 Penalva";-;4;-;-;-;4
"210845 Peritoró";-;6;-;-;-;6
"210880 Pirapemas";-;2;-;-;-;2
"210900 Porto Franco";-;8;-;-;-;8
"210910 Presidente Dutra";-;16;-;-;-;16
"210920 Presidente Juscelino";-;3;-;-;-;3
"210927 Presidente Sarney";-;3;-;-;-;3
"210940 Primeira Cruz";-;3;-;-;-;3
"210945 Raposa";-;2;-;-;-;2
"210950 Riachão";-;1;-;-;-;1
"210980 Santa Helena";-;2;-;-;-;2
"210990 Santa Inês";-;11;-;-;-;11
"211000 Santa Luzia";-;3;-;-;-;3
"211003 Santa Luzia do Paruá";-;5;-;-;-;5
"211010 Santa Quitéria do Maranhão";-;3;-;-;-;3
"211020 Santa Rita";-;2;-;-;-;2
"211023 Santana do Maranhão";-;3;-;-;-;3
"211027 Santo Amaro do Maranhão";-;1;-;-;-;1
"211040 São Benedito do Rio Preto";-;4;-;-;-;4
"211050 São Bento";-;3;-;-;-;3
"211102 São João do Carú";-;5;-;-;-;5
"211105 São João do Paraíso";-;3;-;-;-;3
"211110 São João dos Patos";-;10;-;-;-;10
"211120 São José de Ribamar";-;38;-;-;-;38
"211130 São Luís";-;166;-;-;-;166
"211153 São Pedro da Água Branca";-;1;-;-;-;1
"211157 São Pedro dos Crentes";-;2;-;-;-;2
"211163 São Raimundo do Doca Bezerra";-;3;-;-;-;3
"211170 São Vicente Ferrer";-;2;-;-;-;2
"211174 Senador Alexandre Costa";-;3;-;-;-;3
"211178 Serrano do Maranhão";-;4;-;-;-;4
"211180 Sítio Novo";-;3;-;-;-;3
"211195 Sucupira do Riachão";-;3;-;-;-;3
"211200 Tasso Fragoso";-;2;-;-;-;2
"211210 Timbiras";-;4;-;-;-;4
"211220 Timon";-;20;-;-;-;20
"211223 Trizidela do Vale";-;2;-;-;-;2
"211227 Tufilândia";-;2;-;-;-;2
"211230 Tuntum";-;2;-;-;-;2
"211240 Turiaçu";-;2;-;-;-;2
"211260 Urbano Santos";-;1;-;-;-;1
"211280 Viana";-;3;-;-;-;3
"211285 Vila Nova dos Martírios";-;1;-;-;-;1
"211290 Vitória do Mearim";-;6;-;-;-;6
"220050 Amarante";-;1;-;-;-;1
"220120 Barras";-;1;-;-;-;1
"220170 Bertolínia";-;1;-;-;-;1
"220180 Bocaina";-;3;-;-;-;3
"220220 Campo Maior";-;35;-;-;-;35
"220225 Canavieira";-;2;-;-;-;2
"220300 Cristalândia do Piauí";-;1;-;-;-;1
"220350 Elesbão Veloso";-;3;-;-;-;3
"220390 Floriano";-;14;-;-;-;14
"220550 José de Freitas";-;3;-;-;-;3
"220553 Jurema";-;2;-;-;-;2
"220560 Landri Sales";-;2;-;-;-;2
"220570 Luís Correia";-;6;-;-;-;6
"220590 Manoel Emídio";-;2;-;-;-;2
"220700 Oeiras";-;9;-;-;-;9
"220720 Padre Marcos";-;2;-;-;-;2
"220770 Parnaíba";-;13;-;-;-;13
"220780 Paulistana";-;6;-;-;-;6
"220800 Picos";-;15;-;-;-;15
"220820 Pio IX";-;6;-;-;-;6
"220840 Piripiri";-;12;-;-;-;12
"220860 Prata do Piauí";-;1;-;-;-;1
"220910 Santa Cruz do Piauí";-;1;-;-;-;1
"220955 São Braz do Piauí";-;1;-;-;-;1
"221000 São João do Piauí";-;13;-;-;-;13
"221010 São José do Peixe";-;1;-;-;-;1
"221060 São Raimundo Nonato";-;8;-;-;-;8
"221100 Teresina";-;54;-;-;-;54
"230100 Aquiraz";-;3;-;-;-;3
"230110 Aracati";-;6;-;-;-;6
"230140 Aratuba";-;2;-;-;-;2
"230160 Assaré";-;1;-;-;-;1
"230185 Banabuiú";-;2;-;-;-;2
"230190 Barbalha";-;7;-;-;-;7
"230195 Barreira";-;2;-;-;-;2
"230210 Baturité";-;2;-;-;-;2
"230220 Beberibe";-;18;-;-;-;18
"230250 Brejo Santo";-;3;-;-;-;3
"230260 Camocim";-;8;-;-;-;8
"230270 Campos Sales";-;3;-;-;-;3
"230280 Canindé";-;8;-;-;-;8
"230300 Caridade";-;5;-;-;-;5
"230310 Cariré";-;3;-;-;-;3
"230320 Caririaçu";-;1;-;-;-;1
"230340 Carnaubal";-;3;-;-;-;3
"230350 Cascavel";-;2;-;-;-;2
"230370 Caucaia";-;20;-;-;-;20
"230393 Choró";-;2;-;-;-;2
"230395 Chorozinho";-;2;-;-;-;2
"230410 Crateús";-;3;-;-;-;3
"230420 Crato";-;7;-;-;-;7
"230423 Croatá";-;3;-;-;-;3
"230440 Fortaleza";-;434;-;-;-;434
"230465 Graça";-;2;-;-;-;2
"230470 Granja";-;7;-;-;-;7
"230523 Horizonte";-;4;-;-;-;4
"230526 Ibaretama";-;4;-;-;-;4
"230540 Icó";-;3;-;-;-;3
"230550 Iguatu";-;27;-;-;-;27
"230565 Ipaporanga";-;2;-;-;-;2
"230580 Ipu";-;6;-;-;-;6
"230625 Itaitinga";-;11;-;-;-;11
"230640 Itapipoca";-;3;-;-;-;3
"230655 Itarema";-;2;-;-;-;2
"230680 Jaguaribara";-;2;-;-;-;2
"230690 Jaguaribe";-;8;-;-;-;8
"230700 Jaguaruana";-;4;-;-;-;4
"230710 Jardim";-;4;-;-;-;4
"230730 Juazeiro do Norte";-;54;-;-;-;54
"230750 Lavras da Mangabeira";-;4;-;-;-;4
"230760 Limoeiro do Norte";-;40;-;-;-;40
"230765 Maracanaú";-;11;-;-;-;11
"230770 Maranguape";-;9;-;-;-;9
"230780 Marco";-;3;-;-;-;3
"230830 Milagres";-;2;-;-;-;2
"230835 Milhã";-;4;-;-;-;4
"230860 Monsenhor Tabosa";-;1;-;-;-;1
"230890 Morrinhos";-;1;-;-;-;1
"230940 Novo Oriente";-;5;-;-;-;5
"230945 Ocara";-;4;-;-;-;4
"230950 Orós";-;2;-;-;-;2
"230970 Pacatuba";-;8;-;-;-;8
"231010 Palmácia";-;2;-;-;-;2
"231030 Parambu";-;3;-;-;-;3
"231060 Penaforte";-;2;-;-;-;2
"231070 Pentecoste";-;6;-;-;-;6
"231085 Pindoretama";-;2;-;-;-;2
"231090 Piquet Carneiro";-;1;-;-;-;1
"231110 Porteiras";-;2;-;-;-;2
"231126 Quiterianópolis";-;2;-;-;-;2
"231130 Quixadá";-;1;-;-;-;1
"231140 Quixeramobim";-;62;-;-;-;62
"231150 Quixeré";-;2;-;-;-;2
"231170 Reriutaba";-;1;-;-;-;1
"231180 Russas";-;7;-;-;-;7
"231200 Santana do Acaraú";-;4;-;-;-;4
"231230 São Benedito";-;4;-;-;-;4
"231240 São Gonçalo do Amarante";-;10;-;-;-;10
"231250 São João do Jaguaribe";-;6;-;-;-;6
"231270 Senador Pompeu";-;3;-;-;-;3
"231290 Sobral";-;24;-;-;-;24
"231300 Solonópole";-;6;-;-;-;6
"231310 Tabuleiro do Norte";-;4;-;-;-;4
"231320 Tamboril";-;2;-;-;-;2
"231330 Tauá";-;3;-;-;-;3
"231335 Tejuçuoca";-;2;-;-;-;2
"231410 Viçosa do Ceará";-;7;-;-;-;7
"240080 Angicos";-;3;-;-;-;3
"240120 Arês";-;2;-;-;-;2
"240130 Augusto Severo";-;4;-;-;-;4
"240140 Baía Formosa";-;3;-;-;-;3
"240170 Bom Jesus";-;1;-;-;-;1
"240185 Caiçara do Norte";-;2;-;-;-;2
"240200 Caicó";-;8;-;-;-;8
"240210 Campo Redondo";-;3;-;-;-;3
"240240 Carnaúba dos Dantas";-;4;-;-;-;4
"240300 Cruzeta";-;2;-;-;-;2
"240330 Encanto";-;2;-;-;-;2
"240380 Florânia";-;4;-;-;-;4
"240410 Galinhos";-;7;-;-;-;7
"240420 Goianinha";-;4;-;-;-;4
"240440 Grossos";-;1;-;-;-;1
"240450 Guamaré";-;3;-;-;-;3
"240460 Ielmo Marinho";-;4;-;-;-;4
"240520 Janduís";-;2;-;-;-;2
"240540 Japi";-;4;-;-;-;4
"240570 Jardim do Seridó";-;1;-;-;-;1
"240580 João Câmara";-;11;-;-;-;11
"240600 José da Penha";-;1;-;-;-;1
"240610 Jucurutu";-;2;-;-;-;2
"240650 Lagoa Nova";-;4;-;-;-;4
"240670 Lajes";-;4;-;-;-;4
"240690 Lucrécia";-;2;-;-;-;2
"240700 Luís Gomes";-;2;-;-;-;2
"240770 Montanhas";-;2;-;-;-;2
"240780 Monte Alegre";-;3;-;-;-;3
"240800 Mossoró";-;23;-;-;-;23
"240810 Natal";-;212;-;-;-;212
"240325 Parnamirim";-;14;-;-;-;14
"240910 Passa e Fica";-;2;-;-;-;2
"240930 Patu";-;2;-;-;-;2
"240940 Pau dos Ferros";-;18;-;-;-;18
"240990 Pendências";-;4;-;-;-;4
"241000 Pilões";-;7;-;-;-;7
"241050 Rafael Fernandes";-;1;-;-;-;1
"241070 Riacho da Cruz";-;1;-;-;-;1
"241090 Riachuelo";-;8;-;-;-;8
"241100 Rodolfo Fernandes";-;1;-;-;-;1
"241120 Santa Cruz";-;6;-;-;-;6
"241200 São Gonçalo do Amarante";-;8;-;-;-;8
"241220 São José de Mipibu";-;1;-;-;-;1
"241230 São José do Campestre";-;2;-;-;-;2
"241240 São José do Seridó";-;3;-;-;-;3
"241250 São Miguel";-;10;-;-;-;10
"241260 São Paulo do Potengi";-;3;-;-;-;3
"241280 São Rafael";-;2;-;-;-;2
"241030 Serra Caiada";-;2;-;-;-;2
"241335 Serra do Mel";-;1;-;-;-;1
"241340 Serra Negra do Norte";-;1;-;-;-;1
"241380 Taboleiro Grande";-;1;-;-;-;1
"241415 Tenente Laurentino Cruz";-;2;-;-;-;2
"241440 Touros";-;4;-;-;-;4
"241445 Triunfo Potiguar";-;2;-;-;-;2
"241475 Venha-Ver";-;2;-;-;-;2
"241480 Vera Cruz";-;3;-;-;-;3
"241500 Vila Flor";-;2;-;-;-;2
"250010 Água Branca";-;4;-;-;-;4
"250030 Alagoa Grande";-;3;-;-;-;3
"250157 Barra de Santana";-;3;-;-;-;3
"250180 Bayeux";-;6;-;-;-;6
"250300 Caaporã";-;3;-;-;-;3
"250350 Cacimba de Dentro";-;4;-;-;-;4
"250370 Cajazeiras";-;14;-;-;-;14
"250400 Campina Grande";-;93;-;-;-;93
"250620 Frei Martinho";-;2;-;-;-;2
"250630 Guarabira";-;8;-;-;-;8
"250660 Ibiara";-;2;-;-;-;2
"250750 João Pessoa";-;114;-;-;-;114
"250770 Juazeirinho";-;3;-;-;-;3
"250800 Juru";-;2;-;-;-;2
"250840 Lastro";-;1;-;-;-;1
"250970 Monteiro";-;2;-;-;-;2
"251040 Olho d'Água";-;3;-;-;-;3
"251080 Patos";-;8;-;-;-;8
"251120 Pedras de Fogo";-;5;-;-;-;5
"251272 Pedro Régis";-;1;-;-;-;1
"251230 Princesa Isabel";-;9;-;-;-;9
"251250 Queimadas";-;8;-;-;-;8
"251290 Rio Tinto";-;2;-;-;-;2
"251370 Santa Rita";-;15;-;-;-;15
"251540 São Vicente do Seridó";-;1;-;-;-;1
"251530 Sapé";-;7;-;-;-;7
"251600 Solânea";-;2;-;-;-;2
"251620 Sousa";-;5;-;-;-;5
"251630 Sumé";-;2;-;-;-;2
"251660 Tavares";-;2;-;-;-;2
"251690 Uiraúna";-;3;-;-;-;3
"260005 Abreu e Lima";-;6;-;-;-;6
"260020 Afrânio";-;3;-;-;-;3
"260030 Agrestina";-;5;-;-;-;5
"260040 Água Preta";-;3;-;-;-;3
"260060 Alagoinha";-;3;-;-;-;3
"260080 Altinho";-;6;-;-;-;6
"260100 Angelim";-;2;-;-;-;2
"260105 Araçoiaba";-;3;-;-;-;3
"260110 Araripina";-;8;-;-;-;8
"260120 Arcoverde";-;1;-;-;-;1
"260130 Barra de Guabiraba";-;1;-;-;-;1
"260140 Barreiros";-;6;-;-;-;6
"260160 Belém do São Francisco";-;1;-;-;-;1
"260170 Belo Jardim";-;6;-;-;-;6
"260190 Bezerros";-;12;-;-;-;12
"260200 Bodocó";-;2;-;-;-;2
"260210 Bom Conselho";-;4;-;-;-;4
"260230 Bonito";-;6;-;-;-;6
"260270 Buenos Aires";-;1;-;-;-;1
"260280 Buíque";-;7;-;-;-;7
"260290 Cabo de Santo Agostinho";-;27;-;-;-;27
"260310 Cachoeirinha";-;2;-;-;-;2
"260320 Caetés";-;3;-;-;-;3
"260330 Calçado";-;3;-;-;-;3
"260345 Camaragibe";-;16;-;-;-;16
"260350 Camocim de São Félix";-;2;-;-;-;2
"260370 Canhotinho";-;3;-;-;-;3
"260380 Capoeiras";-;1;-;-;-;1
"260400 Carpina";-;4;-;-;-;4
"260410 Caruaru";-;72;-;-;-;72
"260430 Cedro";-;2;-;-;-;2
"260450 Chã Grande";-;3;-;-;-;3
"260470 Correntes";-;4;-;-;-;4
"260500 Cupira";-;5;-;-;-;5
"260510 Custódia";-;7;-;-;-;7
"260520 Escada";-;2;-;-;-;2
"260530 Exu";-;2;-;-;-;2
"260540 Feira Nova";-;1;-;-;-;1
"260545 Fernando de Noronha";-;8;-;-;-;8
"260560 Flores";-;1;-;-;-;1
"260570 Floresta";-;3;-;-;-;3
"260580 Frei Miguelinho";-;4;-;-;-;4
"260600 Garanhuns";-;9;-;-;-;9
"260610 Glória do Goitá";-;2;-;-;-;2
"260620 Goiana";-;9;-;-;-;9
"260630 Granito";-;2;-;-;-;2
"260650 Iati";-;3;-;-;-;3
"260660 Ibimirim";-;2;-;-;-;2
"260680 Igarassu";-;14;-;-;-;14
"260760 Ilha de Itamaracá";-;3;-;-;-;3
"260720 Ipojuca";-;18;-;-;-;18
"260730 Ipubi";-;4;-;-;-;4
